Date,Open,High,Low,Close,Adj Close,Volume,Return
2000/1/3,24.360001,26.15,23.98,24.209999,24.209999,0,
2000/1/4,24.940001,27.18,24.799999,27.01,27.01,0,0.115654734
2000/1/5,27.98,29,25.85,26.41,26.41,0,-0.022213995
2000/1/6,26.68,26.709999,24.700001,25.73,25.73,0,-0.025747823
2000/1/7,25.139999,25.17,21.719999,21.719999,21.719999,0,-0.155849242
2000/1/10,21.889999,22.49,21.360001,21.709999,21.709999,0,-0.000460405
2000/1/11,21.98,22.629999,21.690001,22.5,22.5,0,0.036388809
2000/1/12,23.049999,23.49,22.41,22.84,22.84,0,0.015111111
2000/1/13,22.73,23.1,21.32,21.709999,21.709999,0,-0.04947465
2000/1/14,19.83,20.15,19.51,19.66,19.66,0,-0.09442649
2000/1/18,21.389999,21.629999,20.969999,21.5,21.5,0,0.093591048
2000/1/19,22.15,22.16,21.440001,21.719999,21.719999,0,0.010232512
2000/1/20,21.309999,22.6,21.18,21.75,21.75,0,0.001381262
2000/1/21,21.549999,21.91,20.5,20.82,20.82,0,-0.042758621
2000/1/24,21.43,24.440001,21.43,24.07,24.07,0,0.156099904
2000/1/25,23.790001,24.280001,22.870001,23.02,23.02,0,-0.043622767
2000/1/26,22.91,23.190001,22.450001,23.030001,23.030001,0,0.000434448
2000/1/27,22.370001,24.389999,22.030001,23.540001,23.540001,0,0.022145027
2000/1/28,23.75,26.540001,23.17,26.139999,26.139999,0,0.110450208
2000/1/31,26.780001,27.43,24.940001,24.950001,24.950001,0,-0.045524026
2000/2/1,24.43,24.74,23.290001,23.450001,23.450001,0,-0.060120238
2000/2/2,23.02,24.74,22.620001,23.120001,23.120001,0,-0.014072494
2000/2/3,22.719999,23.73,21.93,22.01,22.01,0,-0.048010422
2000/2/4,20.77,21.77,20.690001,21.540001,21.540001,0,-0.021353885
2000/2/7,22.969999,23.27,22.790001,22.790001,22.790001,0,0.058031566
2000/2/8,21.68,22.08,21.17,21.25,21.25,0,-0.067573538
2000/2/9,21.540001,22.9,21.290001,22.9,22.9,0,0.077647059
2000/2/10,23.360001,23.549999,22.75,23.07,23.07,0,0.007423581
2000/2/11,22.940001,24.799999,22.82,24.42,24.42,0,0.058517555
2000/2/14,24.67,24.889999,24.27,24.379999,24.379999,0,-0.001638043
2000/2/15,24.08,24.75,22.84,22.92,22.92,0,-0.059885113
2000/2/16,23.200001,23.83,22.74,23.51,23.51,0,0.02574171
2000/2/17,22.9,23.48,22.629999,23.17,23.17,0,-0.014461931
2000/2/18,23.370001,26.370001,23.370001,26,26,0,0.122140699
2000/2/22,25.91,28.120001,25.469999,25.860001,25.860001,0,-0.005384577
2000/2/23,25.200001,25.370001,23.559999,23.889999,23.889999,0,-0.076179502
2000/2/24,24.18,25.940001,24.15,24.379999,24.379999,0,0.020510675
