Date,Open,High,Low,Close,Adj Close,Volume,Return 
2000/1/1,24.360001,29,19.51,24.950001,24.950001,0,
2000/2/1,24.43,28.120001,20.690001,23.370001,23.370001,0,-0.063326651
2000/3/1,22.65,25.870001,19.190001,24.110001,24.110001,0,0.031664526
2000/4/1,24.99,34.310001,23.25,26.200001,26.200001,0,0.086686019
2000/5/1,26.07,32.889999,23.23,23.65,23.65,0,-0.097328279
2000/6/1,23.200001,25.01,19.389999,19.540001,19.540001,0,-0.173784313
2000/7/1,20.51,21.65,18.77,20.74,20.74,0,0.061412433
2000/8/1,20.66,20.84,16.280001,16.84,16.84,0,-0.18804243
2000/9/1,16.809999,22.66,16.469999,20.57,20.57,0,0.221496437
2000/10/1,20.98,30.799999,20.41,23.629999,23.629999,0,0.148760282
2000/11/1,24.07,31.110001,23.51,29.65,29.65,0,0.25476095
2000/12/1,28.309999,32.32,22.379999,26.85,26.85,0,-0.094435076
2001/1/1,27.93,30.799999,21.469999,22.02,22.02,0,-0.179888268
2001/2/1,22.389999,30.620001,20.219999,28.35,28.35,0,0.28746594
2001/3/1,29.66,35.450001,24.120001,28.639999,28.639999,0,0.010229242
2001/4/1,29.4,35.200001,23.01,25.48,25.48,0,-0.110335164
2001/5/1,25.459999,26.49,20.459999,22.639999,22.639999,0,-0.111460008
2001/6/1,23.02,24.42,18.83,19.059999,19.059999,0,-0.158127215
2001/7/1,19.75,25.610001,18.74,21.620001,21.620001,0,0.134312809
2001/8/1,20.969999,25.84,19.690001,24.92,24.92,0,0.152636394
2001/9/1,26.110001,49.349998,24.190001,31.93,31.93,0,0.281300161
2001/10/1,33.419998,36.950001,28.110001,33.560001,33.560001,0,0.051049201
2001/11/1,33.970001,34.57,22.959999,23.84,23.84,0,-0.289630534
2001/12/1,25.92,26.379999,21.120001,23.799999,23.799999,0,-0.001677894
2002/1/1,23.780001,26.879999,20.4,21.09,21.09,0,-0.113865509
2002/2/1,21.120001,27.32,20.549999,21.59,21.59,0,0.023707918
2002/3/1,21.059999,21.120001,17.02,17.4,17.4,0,-0.194071329
2002/4/1,18.99,24.5,17.73,21.91,21.91,0,0.259195402
2002/5/1,21.440001,22.709999,17.700001,19.98,19.98,0,-0.088087631
2002/6/1,20.98,30.98,20.620001,25.4,25.4,0,0.271271271
2002/7/1,25.709999,48.459999,25.629999,32.029999,32.029999,0,0.261023583
2002/8/1,32.77,45.209999,27.610001,32.639999,32.639999,0,0.019044646
2002/9/1,37.119999,41.860001,33.720001,39.689999,39.689999,0,0.215992654
2002/10/1,37.25,43.439999,29.690001,31.139999,31.139999,0,-0.215419507
2002/11/1,31.57,32.599998,23.049999,27.5,27.5,0,-0.11689143
2002/12/1,28.35,31.200001,25.870001,28.620001,28.620001,0,0.040727309
2003/1/1,28.74,35.330002,24.02,31.17,31.17,0,0.089098494
2003/2/1,32.450001,35.66,29.059999,29.629999,29.629999,0,-0.049406513
2003/3/1,29.780001,34.400002,27.58,29.15,29.15,0,-0.016199764
2003/4/1,29.58,30.040001,20.26,21.209999,21.209999,0,-0.272384254
2003/5/1,21.35,22.33,18.24,19.469999,19.469999,0,-0.082036779
